INDID,CLASSID,CLASSDESC
36,Y,Food Sweetners (Nutr) N.E.C.
37,A,"Dinner W/Components Sep'd Containers, not seafood"
37,B,"Mult Food Spec/Side/Dessert/Natl Dish, not seafood"
37,C,"Food Pack Sep Comp Require Mix/Cook, not seafood"
37,D,"Stews, other than seafood"
37,G,"Gravies, other than seafood"
37,J,"Sauces, other than seafood"
37,K,"Pastes, other than seafood"
37,S,"Sandwiches, other than seafood"
37,X,Market Basket Sampling
37,Y,"Multiple Food,N.E.C."
38,A,Soup
38,B,"Soups, Conc"
38,C,"Soup, Dried"
38,F,"Soup, Creamed"
38,G,"Soup, Creamed Conc"
38,H,"Soup, Creamed, Dried"
38,J,Consomme/Bouillion
38,K,"Consomme/Bouillion, Conc"
38,L,"Consomme/Bouillion, Dried"
38,M,Broth (Meat and/or Vegetable Stock)
38,N,Broth Conc
38,P,"Broth, Dried"
38,Y,"Soup, N.E.C."
39,A,Salad W/Veg/Fruit/Dress
39,B,"Salad W/Egg, Meat, or Poultry"
39,C,Gelatin Salad W/Fruit/Veg
39,Y,"Prep Salad, N.E.C."
40,A,Baked Goods (Baby)
40,B,Cereal (Baby)
40,D,Veg (Baby)
40,E,Fruit/Juice/Drink (Baby)
40,F,Meat Prod/Comb Meat Dinner (Baby)
40,G,Poultry Prod/Comb Poultry Dinner (Baby)
40,H,High Meat Dinner/Cheese Food (Baby)
40,I,Fish-Seafood Prod (Baby)
40,J,Egg Prod (Baby)
40,K,Pudding/Custard (Baby)
40,L,Soups/Soup Mix (Baby)
40,M,Infant Formula Raw Material
40,N,Ready To Feed Formula Products (non-exempt)
40,O,Liquid Concentrate Formula Products (non-exempt)
40,P,Powder Formula Products (non-exempt)
40,Q,Pasta and Noodle Combination Dinners Without Meat
40,R,Infant Formula For Sample Testing (not for sale)
40,S,Human Milk Fortifiers
40,X,Market Basket Sampling
40,Y,Baby Food N.E.C.
41,A,Foods W/Art Sweet Wo/Suppl Nutr
41,B,Foods W/Suppl Nutr
41,C,Foods W/Excess Nutr Claims
41,D,Foods W/Claims Rel Fat&Fat-Acid&Cholest
41,E,Meal Replacements
41,G,Medical Foods (Formulated for disease treatment)
41,Y,Dietary Conv Nec
42,A,Whole Edible Insects (adults and immature stages)
42,B,Milled Edible Insect Products
42,C,Edible Insect Bars
42,D,Edible Insect Bakery Products
42,E,Edible Insect Candy With Chocolate
42,F,Edible Insect Candy Without Chocolate
42,G,Edible Insect Capsules
42,H,Edible Insect Granola or Trail Mix
42,I,Edible Insect Jerky
42,J,Edible Insect  Ice Cream and Related Products
42,K,Edible Insect Oils
42,L,Edible Insect Smoothies
42,M,Edible Insect Soups
42,N,Edible Insect Spreads And Pastes
42,O,Edible Insect Beverages
42,P,Edible Insect Protein: Simulated Meats and Tofu
42,Q,Edible Insect Salts and Spices
42,R,Edible Insect Products N.E.C.
45,A,Anticaking&Freeflow Agents
45,B,Antimicrobial Agents
45,C,Antioxidants
45,D,Color Adjuncts
45,E,Curing & Pickling Agents
45,F,Dough Strengtheners
45,G,Drying Agents
45,H,Emulsifiers & Emulsifier Salts
45,I,Enzymes
45,J,Firming Agents
45,K,Flavor Enhancers
45,L,Flavoring Agents & Adjuvants
45,M,Flour Treating Agents
45,N,Formulation Aids
45,P,Fumigants
45,Q,Humectants
45,R,Leavening Agents
45,S,Lubricants & Release Agents
45,T,Non-Nutritive Sweetners
45,V,Nutritive Sweetners
45,W,Oxidizing & Reducing Agents
45,X,Ph Control Agents
46,A,Processing Aids
46,B,"Propellants, Aerating Agents & Gases"
46,C,Sequestrants
46,D,Solvents & Vehicles
46,E,Stabilizers & Thickeners
46,F,Surface-Active Agents
46,G,Surface-Finishing Agents
46,H,Synergists
46,I,Texturizers
46,Y,Food Additives For Human Use n.e.c.
50,C,Raw Material For Color Manufacturing
50,D,"Cert. For Food, Drugs And Cosmetics"
50,E,Cert. For Foods Only
50,F,"Cert. For Food, Drug and Medical Devices"
50,G,Cert. For Food And Drug
50,H,Cert. For Drugs And Cosmetics
50,I,Cert. For Drugs Only
50,J,Cert. For Cosmetics Only
50,K,Cert. For Medical Devices Only
50,L,Color Exempt From Cert. Food Use
50,M,Color Exempt From Cert. Drug Use
50,N,Color Exempt From Cert. Cosmetic Use
50,O,Color Exempt From Cert. Medical Device Use
52,A,"Foodware, Cookware & Tableware"
52,B,Food Related Item
52,D,Live Animals
52,E,Infant Food Items
52,Y,Exhibit (Evidence Development)
53,A,Baby Prod
53,B,Bath Prep
53,C,Eye Makeup Prep
53,D,Fragrance Prep
53,E,Hair Preps(Non-Coloring)
53,F,Hair Coloring Prep
53,G,Makeup Prep(Not For Eyes)
53,H,Manicuring Prep
53,I,Oral Hygiene Prod
53,J,Personal Cleanliness
53,K,Shaving Prep
53,L,Skin Care Prep
53,M,Suntan Preparations
53,P,Cosmetic Raw Material
53,Q,Cosmetic Packaging/Labeling
53,R,Cosmetic Prods Containing Animal By Prod (Bovine)
53,S,Cosmetic Prods Containing Animal By Prod (Ovine)
53,T,Cosmetic Prods Containing Animal By Prod (Porcine)
53,U,Cosmetic Prods Containing Animal By Prod (Other)
53,Y,"Cosmetics and Cosmetic Products,n.e.c."
54,A,Vitamin
54,B,Mineral
54,C,Protein
54,E,Herbal & Botanical Teas I
54,F,Herbal & Botanicals I (other than teas)
54,G,Animal By-products & Extracts
54,H,Fats and Lipid Substances
54,I,Fiber
54,J,Herbal & Botanical Teas II
54,K,Herbal & Botanicals II (other than teas)
54,Y,Vit/Min/Prot/Unconv Diet Spec N.E.C.
55,A,Closure
55,B,Coating (Closure/Container)
55,C,Non-Met Container/Material
55,D,Met Container/Material
55,E,Additive In Plastic
55,F,Pharmaceutic Necessity - Capsule Shell
55,P,Pharm Nec (Mfr)
55,Q,Pharm Nec (Mfr)
55,R,Pharm Nec (Mfr)
55,Y,Pharm Necess & Ctnr N.E.C.
56,A,Penicillin Natural
56,B,Synthetic Penicillin
56,C,Cephalosporin
56,D,Aminoglycosides
56,E,Tetracycline
56,F,Peptide
56,G,Antifungal
56,H,Antitumor
56,I,Macrolide
56,J,Lincomycin
56,K,Misc Antibiotics
56,L,Non-Cert Vet Antibiotic N.E.C.
56,M,BACTAM (B-Lactam Antibiotic)
56,N,Streptogramins
56,O,Fluoroquinolone
56,P,Oxazolidinone
56,X,Diag Invitro Antibiotic N.E.C.
56,Y,Antibiotics N.E.C.
57,A,Antitoxins and Antivenins
57,B,Immunization Toxoids
57,C,Viral Vaccines
57,D,"Blood & Blood Components, single donor & pheresis"
57,E,In-Vivo Diagnostic Products
57,G,Allergenic Products
57,H,Bacterial Vaccines/Antigens
57,I,Multiple Vaccine/Multiple Antigen Preparations
57,J,Human Musculoskeletal Tissue
57,K,Human Reproductive Tissue
57,L,Human Ocular Tissue
57,M,Human Hematopoietic Cells
57,N,Human Cell and Gene Therapies
57,P,"Human Tissues, n.e.c."
57,Q,Human Skin
57,R,Human Vascular Tissue
57,S,Human Cardiac Tissue
57,T,Human Dura Mater
57,U,Blood Derivatives
57,V,In-Vitro Diagnostic Products
57,W,Immunomodulators
57,Y,"In-Vivo and In-Vitro Diagnostic Products, N.E.C."
58,A,Anti-Asthmatic
58,C,Antimigraine
58,D,Antineoplastic
58,E,Antiviral
58,F,Cardiovascular Agent
58,G,Diagnostic Agent
58,H,Endocrine-Metabolic Agent
58,I,Enzyme
58,J,Gonad-Stimulating Principle
58,K,Growth Factor
58,L,Hematological Agent
58,M,Immunological Agent
58,N,Lung Surfactant
58,O,Monoclonal Antibody
58,P,Neuromuscular Blocker
58,Q,Ophthalmologic Agent
58,S,Tumor Necrosis Factor (TNF) Inhibitor
60,A,Abrasive
60,B,Acidifier
60,C,Adrenergic
60,D,Adrenocortical Steroid
60,E,Adrenocortical Suppress
60,F,Adsorbant
60,G,Alcohol Deterrent
60,H,Aldosterone Antagon
60,I,Alkalizer
60,J,Ammonia Detox
60,K,Anabolic
60,L,Analgesic
60,M,Analgesic (Narc)
60,N,Androgen
60,O,Agonist
60,P,Anethesia Adjunct
60,Q,Anesthetic
60,R,Anorexic
60,S,Antacid
60,T,Antagonist
60,U,Anter Pituit Activ
60,V,Anter Pituit Suppress
60,W,Anthelmintic
60,X,A-Adrenergic
60,Y,Inhibitor (Growth Factor)
60,Z,Antiparasitic
61,A,A-Amebic
61,B,A-Androgen
61,C,A-Anemic
61,D,A-Anginal
61,E,A-Asthmatic
61,F,A-Bacterial Pt. I (Not Antibiotic)
61,G,A-Bacterial Pt. II (Not Antibiotic)
61,H,A-Bacterial Pt. III (Not Antibiotic)
61,I,A-Bacterial Enzyme
61,J,A-Cholesteremic
61,K,A-Cholinergic
61,L,A-Coagulant
61,M,A-Convulsant
61,N,A-Depressant
61,P,A-Diabetic
61,Q,A-Diuretic
61,R,Antidote
61,S,A-Eczematic
61,T,A-Emetic/Nauseant
61,U,A-Estrogen
61,V,A-Flatulent
61,W,A-Fungal
61,X,A-Histaminic
61,Y,TNF Inhibitors
61,Z,A-Platelet
62,A,A-Hypercalcemic
62,B,A-Hyperlipidemic
62,C,A-Hypertensive
62,D,A-Hypocalcemic
62,E,A-Hypotensive
62,F,"A-Infective, Topical"
62,G,A-Inflammatory
62,H,A-Microbial
62,I,A-Neoplastic
62,J,A-Parkinsonian
62,K,A-Peristaltic
62,L,"A-Protozoal, A-Leishmanial, A-Malarial"
62,M,A-Pruritic
62,N,A-Psoriatic
62,O,Anti-Hypertensive - Part II
62,P,A-Pyretic
62,Q,A-Rheumatic
62,R,A-Schistosomal
62,S,A-Seborrheic
62,T,A-Secretory
62,U,A-Tussive/Cold
62,V,A-Viral
62,W,Astring/A-Perspirant
62,Y,Anti-Inflammatory - Part II
62,Z,Anti-neoplastic - Part II
63,A,Bone Calcium Reg
63,B,Bronchodilator
63,C,Carbon Dioxide Absorb
63,D,Carbonic Anhydrase Inhib
63,E,Cardiac Depress
63,F,Cardiotonic
63,G,Catecholamine Potentiator
63,H,Cathartic
63,I,Caustic
63,J,Chelating Agent
63,K,Chemotic
63,L,Phosphate Binder
63,M,Choleretic
63,N,Cholinergic
63,O,Antimigraine Agent
63,P,Cholinesterase React
63,R,Dental Caries Prophyl
63,S,Dental Protect
63,T,Dental Restor Agent
63,U,Dentin Desensitizer
63,V,Depigmentor
63,W,Detergent
63,X,Diag Aid (Drugs)
64,A,Disinfect
64,B,Diuretic
64,C,Emetic
64,D,Emollient/Lubricant
64,E,Enzyme
64,F,Enzyme Inhib
64,G,Estrogen
64,H,Expectorant
64,I,Fibrinolytic
64,J,"Gas, Medicinal"
64,K,"Gas, Diluent"
64,L,Glucocorticoid
64,M,Gonad-Stim Princ
64,N,Hematinic
64,O,Monoclonal Antibodies
64,P,Hemostatic
64,Q,Histidine Decarboxylase Inhib
64,R,Hormone
64,S,Hypnotic
64,T,Immunosuppress
64,U,Inhibitor
64,V,Ion-Exchange Resin
64,W,Irrigation Sol
64,X,Keratolytic
64,Y,Biologic Response Modifiers
64,Z,Peritoneal Dialysis Solution
65,A,Memory Adjuvant
65,B,Mucolytic
65,C,Nutrient/Tonic
65,D,Oxytocic
65,E,Pediculicide
65,F,Water (Pharm Aid)
65,G,Pigmentation Agent
65,H,Plasma Vol Extend
65,I,Plasminogen Activator
65,J,Progestin
65,K,Prostaglandin
65,L,Protectant
65,M,Prothyrotropin
65,N,Radioactive Agent
65,O,Radioactive Agent - Part II
65,P,Regulator
65,Q,Relaxant
65,R,Replenisher
65,S,Rubefacient
65,T,Scabicide
65,U,Sclerosing Agent
65,V,Sedative
65,W,Serotonin Inhib
65,X,Spermaticide
65,Y,Positron Emission Tomography Radioactive Agent
65,Z,Smoking Cessation
66,A,Spreading Agent
66,B,Stimulant
66,C,Stool Soften
66,D,"Sulfide, Source"
66,E,Suppl Iodine
66,F,Suppressant
66,G,Surg/Prosth Aid
66,H,Sweetener
66,I,Synergist
66,J,Thyroid Hormone
66,K,Thyroid Inhib
66,L,Thyromimetic
66,M,Tranquilizer
66,N,Tranquilizer (Anti-Psychotic) - Part II
66,O,Hematopoietic Agents
66,P,Ultraviolet Screen/Sunscreen
66,Q,Uricosuric
66,R,Vasoconstrictor
66,S,Vasodilator
66,T,Xanthine Oxidase Inhib
66,U,Nat Body Part (Invivo Only)
66,V,"Patent Medicines, Etc"
66,W,Immunomodulator
66,Y,Exhibit Other Drug Related Item
67,A,Category I
67,B,Category II
67,C,Combo Category I & II
68,L,Disposables/single use devices-Nonhuman
68,M,Large hospital/clinic equipment-Nonhuman
68,N,Small hospital/clinic equipment-Nonhuman
68,O,Anesthesia-Nonhuman
68,P,Orthopedic-Nonhuman
68,Q,Ophthalmic-Nonhuman
68,R,Dental-Nonhuman
68,S,"Diagnostics (in vivo, in vitro and NEC)-Nonhuman"
68,Z,"Animal Medical Devices, NEC"
69,A,Category I
69,B,Category II
69,C,Combo Category I & II
70,A,Ground Grains Animal
70,B,Hay
70,C,Silage
70,D,Whole Grains Animal
70,E,Additives
70,F,Edible Seeds-Oilseed
70,G,Edible Seeds-Legumes
70,H,Vegetables-Fresh (incl. tubers & root vegetables)
70,I,Vegetables-Dried (incl. tubers & root vegetables)
70,M,Mixed Feed Ration
70,N,Algae and Seaweed
70,Y,"Animal Feeds, N.E.C."
71,A,Slaughtered Mammal Byprod
71,B,Poultry
71,C,Dairy
71,D,Fish/Marine
71,E,Animal Waste Feed Prod
71,F,Brewery/Distillery Byprod
71,G,Corn Prod/Byprod
71,H,Flour Mill Byprod
71,I,Rice Mill Byprod
71,J,Fruit
71,K,Veg Byprod
71,L,Oilseed Byprod
71,M,Wheat and Wheat Byproducts
71,N,Human Food Byproducts
71,Y,"Byprod For Animal, N.E.C."
72,A,Pet Cat Food
72,B,Pet Dog Food
72,C,Pet Bird Food
72,D,Pet Fish Food
72,E,"Other Pet Food, N.E.C."
72,F,Pet Chews (Non-Nutritive)
72,G,Pet Treats
72,L,Lab Animal Food
72,Y,"Pet/Lab Animal Food, N.E.C."
73,A,Portion of device code
73,B,Portion of device code
73,C,Portion of device code
73,D,Portion of device code
73,E,Portion of device code
73,F,Portion of device code
73,G,Portion of device code
73,H,Portion of device code
73,I,Portion of device code
73,J,Portion of device code
73,K,Portion of device code
73,L,Portion of device code
73,M,Portion of device code
73,N,Portion of device code
73,O,Portion of device code
73,P,Portion of device code
73,Q,Portion of device code
73,R,Portion of device code
73,S,Portion of device code
73,T,Portion of device code
73,U,Portion of device code
73,V,Portion of device code
73,W,Portion of device code
73,X,Portion of device code
73,Y,Portion of device code
73,Z,Portion of device code
74,A,Portion of device code
74,B,Portion of device code
74,C,Portion of device code
74,D,Portion of device code
74,E,Portion of device code
74,F,Portion of device code
74,G,Portion of device code
74,H,Portion of device code
74,I,Portion of device code
74,J,Portion of device code
74,K,Portion of device code
74,L,Portion of device code
74,M,Portion of device code
74,N,Portion of device code
74,O,Portion of device code
74,P,Portion of device code
74,Q,Portion of device code
74,R,Portion of device code
74,S,Portion of device code
74,T,Portion of device code
74,U,Portion of device code
74,V,Portion of device code
74,W,Portion of device code
74,X,Portion of device code
74,Y,Portion of device code
74,Z,Portion of device code
75,A,Portion of device code
75,B,Portion of device code
75,C,Portion of device code
75,D,Portion of device code
