INDID,PRODID,PRODDESC,CLASSCODE,GROUPCODE
03,115,Graham Crackers,F,03
03,116,"Oatmeal Cookie,Biscuit,Wafer Dough",M,03
03,117,"Oatmeal Plain Cookies,Biscuits, and Wafers",H,03
03,118,"Oatmeal Filled/Iced Cookies,Biscuits and Wafers",J,03
03,119,Oatmeal Prepared Dry Cookie Mix With Milk or Egg,K,03
03,120,Oatmeal Prepared Dry Cookie Mix Without Milk or Egg,L,03
03,121,"Pastry (Eclairs, Cream Puffs) Dough or Batter With Custard or Cream Filling",Q,03
03,122,"Pastry (Eclairs, Cream Puffs) Custard or Cream Filled",N,03
03,123,"Pastry (Eclairs, Cream Puffs) Prepared Dry Mix With Custard or Cream Filling",P,03
03,124,Icing and Icing Mixes With Nuts,U,03
03,125,Ice Cream Cones,Y,03
03,126,Corn Muffin Dough,E,04
03,127,Corn Muffins,A,04
03,128,Corn Muffin Prepared Dry Mix With Milk or Egg,B,04
03,129,Corn Muffin Prepared Dry Mix Without Milk or Egg,C,04
03,130,Corn Muffin Heat/Serve,D,04
03,131,Matzoth Crackers,F,04
03,132,"Chocolate Chip Cookie, Biscuit,Wafer Dough",M,04
03,133,"Chocolate Chip Plain Cookies,Biscuits and Wafers",H,04
03,134,"Chocolate Chip Filled/Iced Cookies,Biscuits and Wafers",J,04
03,135,Chocolate Chip Prepared Dry Cookie Mix With Milk or Egg,K,04
03,136,Chocolate Chip Prepared Dry Cookie Mix Without Milk or Egg,L,04
03,137,Pies and Puddings Dough or Batter With Custard or Cream Filling,Q,04
03,138,"Pies or Puddings, Custard or Cream Filled",N,04
03,139,Pies and Pudding Prepared Dry Mix With Custard or Cream Filling,P,04
03,140,Pie Crust,Y,04
03,141,English Muffin Dough,E,05
03,142,English Muffins,A,05
03,143,English Muffin Prepared Dry Mix With Milk or Egg,B,05
03,144,English Muffin Prepared Dry Mix Without Milk or Egg,C,05
03,145,English Muffin Heat/Serve,D,05
03,146,Soda Crackers,F,05
03,147,"Nut Cookie,Biscuit,Wafer Dough",M,05
03,148,"Nut Plain Cookies,Biscuits and Wafers",H,05
03,149,"Nut Filled/Iced Cookies,Biscuits and Wafers",J,05
03,150,Nut Prepared Dry Cookie Mix With Milk or Egg,K,05
03,151,Nut Prepared Dry Cookie Mix Without Milk or Egg,L,05
03,152,Coffee Cake Dough or Batter Without Custard or Cream Filling,T,05
03,153,Coffee Cake Without Custard or Cream Filling,R,05
03,154,Coffee Cake Prepared Dry Mix Without Custard or Cream Filling,S,05
03,155,Pizza Crust,Y,05
03,156,Salted Crackers,F,06
03,157,"Fruit Filled Cookie,Biscuit,Wafer Dough",M,06
03,158,"Fruit Filled Plain Cookies,Biscuits and Wafers",H,06
03,159,"Fruit Filled Filled/Iced Cookies,Biscuits and Wafers",J,06
03,160,Fruit Filled Prepared Dry Cookie Mix With Milk or Egg,K,06
03,161,Fruit Filled Prepared Dry Cookie Mix Without Milk or Egg,L,06
03,162,Stuffing,Y,06
03,163,Graham Bread Dough,E,07
03,164,Graham Bread/Rolls/Buns,A,07
03,165,Graham Bread Prepared Dry Mix With Milk or Egg,B,07
03,166,"Graham Bread, Rolls, Buns, Etc Prepared Dry Mix Without Milk or Egg",C,07
03,167,Graham Bread Heat/Serve,D,07
03,168,"Mixed Cookie,Biscuit,Wafer Dough",M,07
03,169,"Mixed Plain Cookies,Biscuits and Wafers",H,07
03,170,"Mixed Filled/Iced Cookies,Biscuits and Wafers",J,07
03,171,Mixed Prepared Dry Cookie Mix With Milk or Egg,K,07
03,172,Mixed Prepared Dry Cookie Mix Without Milk or Egg,L,07
03,173,"Zweiback, Toast",Y,07
03,174,"Milk Bread, Rolls, Buns, Etc Dough",E,08
03,175,Milk Bread/Rolls/Buns,A,08
03,176,"Milk Bread, Rolls, Buns, Etc Prepared Dry Mix with Milk or Egg",B,08
03,177,"Milk Bread, Rolls, Buns, Etc Prepared Dry Mix Without Milk or Egg",C,08
03,178,"Milk Bread, Rolls, Buns, Etc Heat/Serve (excludes Sweet Goods)",D,08
03,179,Taco Shell,Y,08
03,180,"Non-Standard Bread, Rolls, Buns, Etc Dough",E,09
03,181,Non-Standard Bread/Rolls/Buns,A,09
03,182,"Non-Standard Bread, Rolls, Buns, Etc Prepared Dry Mix With Milk or Egg",B,09
03,183,"Non-Standard Breads, Rolls, Buns, Etc Prepared Dry Mix Without Milk or Egg",C,09
03,184,"Non-Standard Bread, Rolls, Buns, Etc Heat/Serve (excludes Sweet Goods)",D,09
03,185,Tortillas,Y,09
03,186,"Raisin Bread, Rolls, Buns, Etc Dough",E,10
03,187,Raisin Bread/Rolls/Buns,A,10
03,188,"Raisin Bread, Rolls, Buns, Etc Prepared Dry Mix With Milk or Egg",B,10
03,189,"Raisin Bread, Rolls, Buns, Etc Prepared Dry Mix Without Milk or Egg",C,10
03,190,"Raisin Bread, Rolls, Buns, Etc Heat/Serve (excludes Sweet Goods)",D,10
03,191,Doughnut Dough or Batter Without Custard or Cream Filling,T,10
03,192,Doughnut Without Custard or Cream Filling,R,10
03,193,Doughnut Prepared Dry Mix Without Custard or Cream Filling,S,10
03,194,"Breading, Breading Mixes. Etc.",Y,10
03,195,"Rye Bread, Rolls, Buns, Etc Dough",E,11
03,196,Rye Bread/Rolls/Buns,A,11
03,197,"Rye Bread, Rolls, Buns, Etc Prepared Dry Mix With Milk or Egg",B,11
03,198,"Rye Bread, Rolls, Buns, Etc Prepared Dry Mix Without Milk or Egg",C,11
03,199,"Rye Bread, Rolls, Buns, Etc Heat/Serve (excludes Sweet Goods)",D,11
03,200,"White Bread, Rolls, Buns, Etc Dough",E,12
03,201,White Bread/Rolls/Buns,A,12
03,202,"White Bread, Rolls, Buns, Etc Prepared Dry Mix With Milk or Egg",B,12
03,203,"White Bread, Rolls, Buns, Etc Prepared Dry Mix Without Milk or Egg",C,12
03,204,"White Bread, Rolls, Buns, Etc Heat/Serve (excludes Sweet Goods)",D,12
03,205,"Whole Wheat Bread, Rolls, Buns, Etc Dough",E,13
03,206,Whole Wheat Bread/Rolls/Buns,A,13
03,207,"Whole Wheat Bread, Rolls, Buns, Etc Prepared Dry Mix With Milk or Egg",B,13
03,208,"Whole Wheat Bread, Rolls, Buns, Etc Prepared Dry Mix Without Milk or Egg",C,13
03,209,"Whole Wheat Bread, Rolls, Buns, Etc Heat/Serve (excludes Sweet Goods)",D,13
03,210,"Muffin (Blueberry, Etc.) Dough or Batter Without Custard or Cream Filling",T,20
03,211,"Muffin (Blueberry, Etc) Without Custard or Cream Filling",R,20
03,212,"Muffin (Blueberry, Etc.) Prepared Dry Mix Without Custard or Cream Filling",S,20
03,213,Pancake Dough or Batter Without Custard or Cream Filling,T,23
03,214,Pancakes Without Custard or Cream Filling,R,23
03,215,Pancake Prepared Dry Mix Without Custard or Cream Filling,S,23
03,216,Pastry (other than Fruit or Jelly Filled) Dough or Batter Without Custard or Cream Filling,T,25
03,217,Pastry (Other than Fruit or Jelly Filled) Without Custard or Cream Filling,R,25
03,218,Pastry (other than Fruit or Jelly Filled) Prepared Dry Mix Without Custard or Cream Filling,S,25
03,219,Pastry Shell Dough or Batter Without Custard or Cream Filling,T,30
03,220,Pastry Shells Without Custard or Cream Filling,R,30
03,221,Pastry Shells Prepared Dry Mix Without Custard or Cream Filling,S,30
03,222,"Pastry,Fruit or Jelly Filled Dough or Batter Without Custard or Cream Filling",T,35
03,223,"Pastry, Fruit or Jelly Filled, Without Custard or Cream Filling",R,35
03,224,"Pastry,Fruit or Jelly Filled Prepared Dry Mix Without Custard or Cream Filling",S,35
03,225,"Pie (Fruit, Pumpkin,Pecan, Etc.) and Pudding Dough or Batter Without Custard or Cream Filling",T,40
03,226,"Pies (Fruit, Pumpkin, and Pecan, Etc) and Puddings Without Custard or Cream Filling",R,40
03,227,"Pie (Fruit, Pumpkin, Pecan, Etc.) and Pudding Prepared Dry Mix Without Custard or Cream Filling",S,40
03,228,Sweet Roll Dough or Batter Without Custard or Cream Filling,T,50
03,229,Sweet Rolls Without Custard or Cream Filling,R,50
03,230,Sweet Roll Prepared Dry Mix Without Custard or Cream Filling,S,50
03,231,"Turnovers, Fruit Filled, Dough or Batter Without Custard or Cream Filling",T,55
03,232,"Turnovers, Fruit Filled Without Custard or Cream Filling",R,55
03,233,"Turnovers, Fruit Filled Prepared Dry Mix Without Custard or Cream Filling",S,55
03,234,Waffle Dough or Batter Without Custard or Cream Filling,T,60
03,235,Waffles Without Custard or Cream Filling,R,60
03,236,Waffles Prepared Dry Mix Without Custard or Cream Filling,S,60
03,237,"Doughs for Bread,Rolls,Muffins, and Buns, N.E.C.",E,99
03,238,"Bread/Rolls/Buns, N.E.C.",A,99
03,239,"Bread, Rolls, Buns, Etc N.E.C. Prepared Dry Mix With Milk or Egg",B,99
03,240,"Breads, Rolls, Buns, Etc N.E.C. Prepared Dry Mix Without Milk or Egg",C,99
03,241,"Bread, Rolls, Buns, Etc N.E.C. Heat/Serve",D,99
03,242,Crackers (Non Filled) N.E.C.,F,99
03,243,Filled Crackers N.E.C.,G,99
03,244,"Cookie,Biscuit,Wafer Dough, N.E.C.",M,99
03,245,"Plain Cookies,Biscuits and Wafers, N.E.C.",H,99
03,246,"Filled/Iced Cookies,Biscuits and Wafers, N.E.C.",J,99
03,247,Prepared Dry Cookie Mix With Milk or Egg N.E.C.,K,99
03,248,Prepared Dry Cookie Mix Without Milk or Egg N.E.C.,L,99
03,249,Sweet Goods Dough or Batter With Custard or Cream Filling N.E.C.,Q,99
03,250,"Sweet Goods,Custard or Cream Filled, N.E.C.",N,99
03,251,Sweet Goods Prepared Dry Mix With Custard or Cream Filling N.E.C.,P,99
03,252,Sweet Goods Dough or Batter Without Custard or Cream Filling,T,99
03,253,"Sweet Goods Without Custard or Cream Filling, N.E.C.",R,99
03,254,Prepared Dry Sweet Goods Mix Without Custard or Cream Filling N.E.C.,S,99
03,255,"Icings And Icing Mixes, N.E.C.",U,99
03,256,"Other Bakery Products, N.E.C.",Y,99
03,23822,"Croissant, Prepared Dry Mix With Milk or Egg",B,14
03,23823,Croissant Bread/Rolls,A,14
03,23824,Croissant Prepared Dry Mix Without Milk or Egg,C,14
03,23825,"Croissant,Heat/Serve (excludes Sweet Goods)",D,14
03,23826,Croissant Dough,E,14
03,23827,Rice Crackers,F,07
03,23828,Shrimp/Prawn Crackers,F,08
03,23829,"Butter/Butter Flavored,Plain Cookies,Biscuits and Wafers",H,08
03,23830,"Butter/Butter Flavored Filled/Iced Cookies,Biscuits and Wafers",J,08
03,23831,Butter/Butter flavored Prepared Dry Cookie Mix With Milk or Egg,K,08
03,23832,Butter/Butter flavored Prepared Dry Cookie Mix without Milk or Egg,L,08
03,23833,"Butter/Butter flavored,Cookie,Biscuit,Wafer Dough",M,08
03,23834,"Fruit/Fruit Flavored Plain Cookies, Biscuits and Wafers",H,09
03,23835,"Fruit/Fruit Flavored Filled/Iced Cookies,Biscuits and Wafers",J,09
03,23836,Fruit/Fruit flavored Prepared Dry Cookie Mix With Milk or Egg,K,09
03,23837,Fruit/Fruit flavored Prepared Dry Cookie Mix Without Milk or Egg,L,09
03,23838,"Fruit/Fruit flavored,Cookie,Biscuit and Wafer Dough",M,09
03,23839,"Creme,Plain Cookie, Biscuit and Wafer",H,10
03,23840,"Creme Filled/Iced Cookie,Biscuit,Wafer",J,10
03,23841,Creme Prepared Dry Cookie Mix With Milk or Egg,K,10
03,23842,Creme Prepared Dry Cookie Mix Without Milk or Egg,L,10
03,23843,"Creme Cookie,Biscuit,Wafer Dough",M,10
03,23844,Demiglace  Icings and Icing Mixes,U,04
03,23845,Lumpia wrappers (includes pastry wrappers and sheets),Y,11
03,23846,Rice Cakes,Y,12
03,25459,Banh Trang (Vietnamese and Southeast Asian phyllo-thin pastry wrapper made from rice flour),Y,11
03,25460,Banku (cylindrical African dumpling made from maize and cassava sourdough; eaten w/soup and stew),Y,99
03,25461,Baozi (Chinese steamed bun),A,99
03,25464,"Bibingka (Philippine cake-like dessert made from rice, grated coconut and cheese)",R,99
03,25474,"Brioche (French, light, yeast bread made rich w/addition of butter and eggs)",A,99
03,25519,"Focaccia (Italian large, flat, round bread coated w/olive oil & salt)",A,99
03,25520,"Fu (Japanese cake made of wheat gluten, used as soup garnish)",Y,99
03,25582,"Omochi (Japanese soft, chewy glutinous rice cake that may be eaten fresh, grilled, or broiled)",Y,12
03,25593,Panettone (Italian spiced yeast bread w/raisins or candied fruit & served as bread or dessert),A,99
03,25594,"Paratha (East Indian fried, whole wheat bread)",A,99
03,25609,"Puto (steamed bread normally made from rice, may contain wheat or corn, from India, China & Phil)",A,99
03,25636,"Sembei (Japanese or Asian rice cake made w/rice flour, egg & sesame seeds, seaweed or soy sauce)",Y,12
03,25646,"Hong Yong Bang (Chinese round, light brown almond cookie)",H,05
03,25655,Jajan Lukis (Indonesian sticky rice triangles made of glutinous rice salt brown sugar & coconut),Y,99
03,25695,Springerle (German anise-flavored cookie decoratively imprinted w/design),H,99
03,25749,"Kayabu (Indonesian cassava cake made w/added coconut, sugar & cinnamon, wrapped in pandan leaves)",R,01
03,25784,Lambropsomo (Greek Easter breat made w/an added liquid spice mixture of cloves bay leaves & cinnamon,A,99
03,25801,Mah Kok Quay (Chinese steamed rice bread that may contain added wheat flour; eaten as a staple food),A,99
03,25808,"Man T'ou (steamed Chinese wheat bread sometimes containing corn or rice, eaten as a staple food)",A,99
03,25809,"Mandoo Skin (Korean dumpling wrapper made from thin flour dough, dumplings filled w/meat & vegs.)",Y,99
03,25830,Ugali (Kenyan cylindrical dumpling made from barley sourdough; eaten w/soups and stews),Y,99
03,25835,"Vattayappam (steamed Indian rice bread w/coconut and cumin, eaten as breakfast or snack)",A,99
03,153263,Cheese Cake,R,61
03,153264,Fruit/Fruit Flavored Cheese Cake,R,62
03,153265,Non-Fruit Flavor Cheese Cake,R,63
03,153266,Baklava,R,64
03,153283,Cheese Cake,S,61
03,153284,Fruit/Fruit Flavored Cheese Cake,S,62
03,153285,Non-Fruit Flavor Cheese Cake,S,63
03,153286,Baklava,S,64
03,153287,Cheese Cake,T,61
03,153288,Fruit/Fruit Flavored Cheese Cake,T,62
03,153289,Non-Fruit Flavor Cheese Cake,T,63
03,153290,Baklava,T,64
03,160021,"Cakes, filled (other than fruit or jelly)",R,02
03,160022,"Cakes, fruit or jelly filled",R,03
03,160040,"Cakes, filled (other than fruit or jelly)",S,02
03,160041,"Cakes, fruit or jelly filled",S,03
03,160042,"Cakes, filled (other than fruit or jelly)",T,02
03,160043,"Cakes, fruit or jelly filled",T,03
03,173659,"Macaroon,Plain Cookie,Biscuit and Wafer",H,11
03,173660,Mini Macaroon,H,11
03,173664,Macaron,H,11
03,173665,Ricciarelli,H,11
03,173666,Besitos de coco,H,11
03,173667,Carajito,H,11
03,173668,Acibadem kurabiyesi,H,11
03,173669,"Macaroon,Filled or Iced Cookies, Biscuits and Wafers",J,11
03,173670,Mini Macaroon,J,11
03,173671,Macaron,J,11
03,173672,Ricciarelli,J,11
03,173673,Besitos de coco,J,11
03,173674,Carajito,J,11
03,173675,Acibadem kurabiyesi,J,11
03,173676,"Macaroon,Prepared Dry Cookie, Biscuits and Wafer Mixes with Milk or Eggs",K,11
03,173677,Mini Macaroon,K,11
03,173678,Macaron,K,11
03,173679,Ricciarelli,K,11
03,173680,Besitos de coco,K,11
03,173681,Carajito,K,11
03,173682,Acibadem kurabiyesi,K,11
03,173683,"Macaroon,Prepared Dry Cookie, Biscuit and Wafer Mixes without Milk and Eggs",L,11
03,173684,Mini Macaroon,L,11
03,173685,Macaron,L,11
03,173686,Ricciarelli,L,11
03,173687,Besitos de coco,L,11
03,173688,Carajito,L,11
03,173689,Acibadem kurabiyesi,L,11
03,173690,"Macaroon,Cookie, Biscuit and Wafer dough",M,11
03,173691,Mini Macaroon,M,11
03,173692,Macaron,M,11
03,173693,Ricciarelli,M,11
03,173694,Besitos de coco,M,11
03,173695,Carajito,M,11
03,173696,Acibadem kurabiyesi,M,11
03,176015,"Pita, Bread/Rolls/Buns",A,15
03,176016,"Pita, Rolls, Buns, Etc Prepared Dry Mix With Milk or Egg",B,15
03,176017,"Pita, Prepared Dry Mix Without Milk or Egg",C,15
03,176018,"Pita, Heat/Serve (excludes Sweet Goods)",D,15
03,176019,"Pita, Dough",E,15
04,257,Macaroni Enriched,A,01
04,258,Chinese Egg Roll Skins,B,01
04,259,"Noodles, Chow Mein",C,01
04,260,"Macaroni In Combination With Noodles, N.E.C.",Y,01
04,261,Macaroni,A,02
04,262,"Noodles, Egg",B,02
04,263,"Noodles, Enriched",C,02
04,264,Macaroni With Non-Fat Milk,A,03
04,265,"Noodles, Egg, Enriched",B,03
04,266,"Noodles, Lo Mein",C,03
04,267,Milk Macaroni,A,04
04,268,"Noodles, Vegetable",C,04
04,269,Spaghetti,A,05
04,270,"Noodles, Wheat and Soy",C,05
04,271,Vermicelli,A,06
04,272,Wonton Noodle Skins,C,06
04,273,Vegetable Macaroni Products,A,07
04,274,Vegetable Spaghetti Products,A,08
04,275,"Macaroni, Wheat and Soy",A,09
04,276,"Macaroni, Whole Wheat",A,10
04,277,Vegetable Vermicelli Products,A,11
04,278,"Macaroni and Spaghetti Products,N.E.C.",A,99
04,279,"Egg Noodles, N.E.C.",B,99
04,280,"Noodles And Noodle Products, N.E.C.",C,99
04,281,"Macaroni/Noodle Products Not Elsewhere Mentioned, N.E.C.",Y,99
04,23847,Alimentary Paste,A,12
04,23848,Egg or Spring Roll Skins,B,01
04,23849,"Noodles, Instant",C,07
04,23850,"Oriental Noodles (flavored with Shrimp,Chicken,Beef,Lobster,Crab,Plain,Etc.)",C,08
04,23851,"Noodles, Imitation",C,09
04,23852,Rice Vermicelli,Y,02
04,23853,Bean Thread,Y,03
04,23854,Rice sticks,Y,04
04,23855,Rice flakes/paper,Y,05
04,25157,"Pasta, Angelhair",A,05
04,25158,Fettuccine,A,05
04,25159,"Pasta, (Non-Vegetable Types)",A,05
04,25177,"Pasta, Lasagna",A,05
04,25178,"Pasta, Gnocchi",A,05
04,25179,"Pasta, Linguine",A,05
04,25444,Ba Mee Noodle (Flat or round Chinese-style Thai egg noodles,C,08
04,25457,"Banh Canh Noodle (Clear, Vietnamese spaghetti-like noodles made from rice, wheat and other starches",C,08
04,25458,Banh Pho Noodle (Flat rice noodles (like rice sticks) used in Vietnamese noodle soup),Y,04
04,25462,"Bean Thread (Thin, translucent Chinese noodles made from mung bean starch)",Y,03
04,25480,"Bun Noodle (thin Vietnamese rice vermicelli, used in soups and stuffings)",Y,02
04,25487,Cha Soba Noodle (Japanese buckwheat noodle flavored with green tea),C,08
04,25518,"Farfel (Israeli egg-noodle dough either grated or minced, cooked in soups)",B,02
04,25527,"Gan Mian Noodle (dried, eggless Chinese noodles made w/wheat flour and water)",C,08
04,25542,"Gwayteed Noodle (fresh Thai rice noodle, sold in wide sheets or cut like fettuccine)",C,08
04,25563,Naeng Myung Noodle (chewy Korean buckwheat & starch (potato/corn) noodle; served cold in beef broth),C,08
04,25585,"Orzo (Greek, rice-shaped noodles used in meat dishes and soups)",C,99
04,25591,Pancit Noodle (Philippine rice noodles),C,08
04,25637,Sen Mee Noodle (thin Thai rice vermicelli sold in skeins),Y,02
04,25639,Sha He Fen Noodle (fresh Chinese rice noodles usually sold in square sheets),C,08
04,25681,"Shiratake Noodle (Japanese yam threads, gelatinous noodle-like substance from mountain yam starch)",C,08
04,25682,Shiso Somen Noodle (Japanese wheat noodles flavored w/salted plum & beefsteak leaf),C,08
04,25688,Soba Noodle (Japanese noodles made from buckwheat wheat flour and water),C,08
04,25690,"Somen Noodle (very thin, fine Japanese white wheat noodles)",C,08
04,25694,Spaetzle Noodle (German egg noodle that is made by grating/finely chopping partially dried dough),B,02
04,25699,Sun Mian Noodle (fresh eggless Chinese noodles made from wheat flour and water),C,08
04,25710,Tamago Somen Noodle (Japanese wheat noodles flavored w/fresh egg),C,08
